2,251,0.774382
2,1007,0.752993
2,1042,0.726553
6,49,0.711916
6,189,0.713495
7,96,0.738956
7,130,0.933991
7,336,0.813152
7,368,0.763459
7,417,0.78575
7,721,0.731507
7,778,0.910245
7,815,0.88176
7,871,0.740477
7,954,0.8544
13,85,0.8354
13,116,0.771744
13,188,0.82124
13,209,0.730835
13,219,0.723923
13,369,0.730271
13,497,0.785769
13,701,0.771744
13,734,0.81908
13,810,0.702651
13,898,0.755757
13,908,0.812661
13,911,0.71548
13,912,0.742611
15,943,0.716493
18,78,0.709524
18,120,0.702247
18,580,0.700178
18,611,0.701486
18,830,0.765233
18,293,0.740477
20,212,0.75
20,1029,0.75
22,466,0.73598
22,480,0.724657
22,922,0.720577
22,1014,0.70135
23,87,0.803698
26,450,0.801784
27,657,0.718421
28,399,0.701294
30,664,0.720438
31,184,0.717496
31,298,0.712697
34,93,0.734315
38,481,0.741018
38,741,0.880085
42,619,0.703989
44,937,0.705306
46,625,0.722715
49,189,0.771708
49,206,0.700519
49,792,0.72004
50,422,0.730335
50,534,0.702367
50,842,0.751184
55,980,0.710654
56,879,0.745356
57,641,0.707107
57,721,0.75
57,815,0.759707
59,92,0.734669
59,486,0.711491
62,670,0.750809
65,134,0.732922
65,705,0.721138
70,901,0.700438
73,522,0.765929
73,612,0.719549
78,120,0.721688
78,207,0.714435
78,580,0.808124
78,611,0.735665
78,768,0.714435
78,830,0.769322
78,1010,0.707159
79,146,0.767885
80,236,0.727157
81,122,0.714608
81,411,0.71028
81,456,0.759257
82,360,0.767034
85,116,0.785674
85,188,0.803155
85,209,0.802078
85,243,0.745361
85,273,0.71416
85,369,0.723068
85,468,0.756707
85,497,0.781889
85,681,0.729681
85,701,0.785674
85,734,0.821953
85,810,0.777369
85,898,0.765095
85,908,0.886156
85,911,0.766667
85,912,0.846737
86,196,0.72432
86,936,0.739256
87,301,0.780149
87,302,0.71305
87,896,0.841068
87,964,0.856403
87,1039,0.720083
87,441,0.71305
89,379,0.77262
93,147,0.7495
93,309,0.746923
93,603,0.805531
93,951,0.807204
94,252,0.743673
94,367,0.727184
94,450,0.758098
94,666,0.74022
96,130,0.777864
96,368,0.715762
96,778,0.702833
96,793,0.7075
96,815,0.787663
96,954,0.705642
97,477,0.714992
98,213,0.844625
98,341,0.757312
98,608,0.810197
98,753,0.801947
98,770,0.77664
98,771,0.798776
98,874,0.758095
98,927,0.701651
101,357,0.707107
101,735,0.714286
103,429,0.715542
103,909,0.715542
107,437,0.75
112,274,0.723269
112,363,0.947854
112,523,0.947854
112,551,0.765676
112,686,0.76607
112,737,0.947854
112,825,0.755802
112,916,0.726087
112,923,0.947854
112,963,0.72305
112,999,0.933294
112,9,0.817047
116,796,0.762001
116,701,1.0
116,188,0.916968
116,734,0.909718
116,209,0.749269
116,219,0.753778
116,243,0.735147
116,908,0.756733
116,911,0.848528
116,912,0.7698
117,132,0.707107
117,814,0.857143
117,349,0.836531
117,358,1.0
117,598,0.746004
119,240,0.704003
119,376,0.727167
120,580,0.843661
120,586,0.785868
120,611,0.896665
120,697,0.847998
